Node_1_Ortholog_group_ID,Node2_Ortholog_group_ID,Layer,S_typhi_strain_CT18_EIP,S_choleraesuis_SC_B67_EIP,S_dublin_CT_02021853_EIP,S_gallinarum_287/91_EIP,S_paratyphi_A_ATCC_9150_EIP,S_agona_SL483_GIP,S_enteritidis_P125109_GIP,S_heidelberg_SL476_GIP,S_newport_SL254_GIP,S_typhimurium_LT2_GIP,S_typhimurium_SL1344_GIP
284,138,Metabolic,1,1,1,1,1,1,1,1,1,1,1
288,1849,Metabolic,1,1,1,1,1,1,1,1,1,1,1
291,2646,Metabolic,1,1,1,1,1,1,1,1,1,1,1
291,2693,Metabolic,1,1,1,1,1,1,1,1,1,1,1
291,1770,Metabolic,1,1,1,1,1,1,1,1,1,1,1
293,4151,Metabolic,1,1,1,1,1,1,1,1,1,1,1
293,1209,Metabolic,1,1,1,1,1,1,1,1,1,1,1
293,2946,Metabolic,1,1,1,1,1,1,1,1,1,1,1
295,2469,Metabolic,1,1,1,1,1,1,1,1,1,1,1
295,572,Metabolic,1,1,1,1,1,1,1,1,1,1,1
295,439,Metabolic,1,1,1,1,1,1,1,1,1,1,1
295,731,Metabolic,1,1,1,1,1,1,1,1,1,1,1
295,1041,Metabolic,1,1,1,1,1,1,1,1,1,1,1
295,3846,Metabolic,1,1,1,1,1,1,1,1,1,1,1
295,3490,Metabolic,1,1,1,1,1,1,1,1,1,1,1
295,2034,Metabolic,1,1,1,1,1,1,1,1,1,1,1
295,2936,Metabolic,1,1,1,1,1,1,1,1,1,1,1
295,1329,Metabolic,1,1,1,1,1,1,1,1,1,1,1
295,120,Metabolic,1,1,1,1,1,1,1,1,1,1,1
307,2071,Metabolic,1,1,1,1,1,1,1,1,1,1,1
307,844,Metabolic,1,1,1,1,1,1,1,1,1,1,1
307,3083,Metabolic,1,1,1,1,1,1,1,1,1,1,1
307,3518,Metabolic,1,1,1,1,1,1,1,1,1,1,1
307,2016,Metabolic,1,1,1,1,1,1,1,1,1,1,1
307,1749,Metabolic,1,1,1,1,1,1,1,1,1,1,1
307,1509,Metabolic,1,1,1,1,1,1,1,1,1,1,1
309,2037,Metabolic,1,1,1,1,1,1,1,1,1,1,1
310,1919,Metabolic,1,1,1,1,1,1,1,1,1,1,1
310,427,Metabolic,1,1,1,1,1,1,1,1,1,1,1
310,708,Metabolic,1,1,1,1,1,1,1,1,1,1,1
312,277,Metabolic,1,1,1,1,1,1,1,1,1,1,1
312,1793,Metabolic,1,1,1,1,1,1,1,1,1,1,1
312,3060,Metabolic,1,1,1,1,1,1,1,1,1,1,1
313,2489,Metabolic,1,1,1,1,1,1,1,1,1,1,1
313,561,Metabolic,1,1,1,1,1,1,1,1,1,1,1
313,1686,Metabolic,1,1,1,1,1,1,1,1,1,1,1
313,1728,Metabolic,1,1,1,1,1,1,1,1,1,1,1
313,2322,Metabolic,1,1,1,1,1,1,1,1,1,1,1
313,3800,Metabolic,1,1,1,1,1,1,1,1,1,1,1
313,3390,Metabolic,1,1,1,1,1,1,1,1,1,1,1
320,4111,Metabolic,1,1,1,1,1,1,1,1,1,1,1
330,414,Metabolic,1,1,1,1,1,1,1,1,1,1,1
337,1611,Metabolic,1,1,1,1,1,1,1,1,1,1,1
337,1120,Metabolic,1,1,1,1,1,1,1,1,1,1,1
337,3118,Metabolic,1,1,1,1,1,1,1,1,1,1,1
337,1987,Metabolic,1,1,1,1,1,1,1,1,1,1,1
338,3282,Metabolic,1,1,1,1,1,1,1,1,1,1,1
338,3778,Metabolic,1,1,1,1,1,1,1,1,1,1,1
368,89,Metabolic,1,1,1,1,1,1,1,1,1,1,1
368,616,Metabolic,1,1,1,1,1,1,1,1,1,1,1
368,3468,Metabolic,1,1,1,1,1,1,1,1,1,1,1
373,1235,Metabolic,1,1,1,1,1,1,1,1,1,1,1
374,1646,Metabolic,1,1,1,1,1,1,1,1,1,1,1
374,630,Metabolic,1,1,1,1,1,1,1,1,1,1,1
376,2222,Metabolic,1,1,1,1,1,1,1,1,1,1,1
376,4039,Metabolic,1,1,1,1,1,1,1,1,1,1,1
380,2703,Metabolic,1,1,1,1,1,1,1,1,1,1,1
380,3316,Metabolic,1,1,1,1,1,1,1,1,1,1,1
383,479,Metabolic,1,1,1,1,1,1,1,1,1,1,1
383,3993,Metabolic,1,1,1,1,1,1,1,1,1,1,1
389,1825,Metabolic,1,1,1,1,1,1,1,1,1,1,1
389,876,Metabolic,1,1,1,1,1,1,1,1,1,1,1
389,3308,Metabolic,1,1,1,1,1,1,1,1,1,1,1
403,674,Metabolic,1,1,1,1,1,1,1,1,1,1,1
403,1262,Metabolic,1,1,1,1,1,1,1,1,1,1,1
403,872,Metabolic,1,1,1,1,1,1,1,1,1,1,1
403,1294,Metabolic,1,1,1,1,1,1,1,1,1,1,1
417,3737,Metabolic,1,1,1,1,1,1,1,1,1,1,1
417,4368,Metabolic,1,1,1,1,1,1,1,1,1,1,1
417,2528,Metabolic,1,1,1,1,1,1,1,1,1,1,1
418,1118,Metabolic,1,1,1,1,1,1,1,1,1,1,1
418,735,Metabolic,1,1,1,1,1,1,1,1,1,1,1
419,3737,Metabolic,1,1,1,1,1,1,1,1,1,1,1
419,4368,Metabolic,1,1,1,1,1,1,1,1,1,1,1
