source;target;ref;layer
B5EXB9;B5F0D1;STM;Metabolic
B5EXB9;B5F4Q4;STM;Metabolic
B5EXB9;B5F543;STM;Metabolic
B5EXC5;B5F696;STM_BioModels;Metabolic
B5EXC6;B5EXC5;STM;Metabolic
B5EXC6;B5EXC7;STM;Metabolic
B5EXC7;B5EXC5;STM;Metabolic
B5EXC7;B5F3K2;STM;Metabolic
B5EXC8;B5EXQ6;STM;Metabolic
B5EXC8;B5EYI0;STM;Metabolic
B5EXC8;B5EZ44;STM;Metabolic
B5EXC8;B5EZ53;STM;Metabolic
B5EXC9;B5EXC5;STM;Metabolic
B5EXC9;B5EXD2;STM;Metabolic
B5EXD0;B5EXD1;STM;Metabolic
B5EXD0;B5F1S0;STM;Metabolic
B5EXD1;B5EXD7;STM;Metabolic
B5EXD2;B5EXD3;STM;Metabolic
B5EXD3;B5EXD4;STM;Metabolic
B5EXD4;B5EXD6;STM;Metabolic
B5EXD5;B5EXC6;STM;Metabolic
B5EXD7;B5EXC5;STM;Metabolic
B5EXD7;B5EXD5;STM;Metabolic
B5EXD8;B5F1S0;STM_BioModels;Metabolic
B5EXD9;B5EWT7;BioModels;Metabolic
B5EXF7;B5F561;STM_BioModels;Metabolic
B5EXF8;B5F6M1;STM_BioModels;Metabolic
B5EXG0;B5F1H6;STM_BioModels;Metabolic
B5EXG0;B5F8B8;STM;Metabolic
B5EXG0;B5F8E6;STM_BioModels;Metabolic
B5EXG1;B5F2U2;STM;Metabolic
B5EXG1;B5F562;STM;Metabolic
B5EXG4;B5F5G3;STM_BioModels;Metabolic
B5EXG4;B5F728;STM;Metabolic
B5EXG6;B5F1H4;STM;Metabolic
B5EXG6;B5F7C4;BioModels;Metabolic
B5EXG7;B5EXG9;STM;Metabolic
B5EXH1;B5EXG7;STM;Metabolic
B5EXH1;B5EXG9;STM;Metabolic
B5EXH2;B5EXH1;STM_BioModels;Metabolic
B5EXH4;B5F1F3;STM;Metabolic
B5EXH4;B5F833;STM_BioModels;Metabolic
